id,rank,name,price,image,link,category
62,13,더편한 컴퓨터의자 사무용의자 사무실 공부 학생 바퀴 회의실 서울대 의자,58900 ,https://shop-phinf.pstatic.net/20230202_283/1675324468229Ircjt_JPEG/76460356934211564_611076017.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=8383096262&tr=bbrks&trx=,20M
63,14,칼린 코지 라지백 H73112010 맞춤 사몰가 이너백 (Carlyn-Cozy-L),21000 ,https://shop-phinf.pstatic.net/20230512_177/1683855271439L0E0f_JPEG/1531392280944095_388925324.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=8535281833&tr=bbrks&trx=,20M
64,15,[수빙수x청담수산 초특가 이벤트] 완도 산지직송 전복 1kg 12-13미,29900 ,https://shop-phinf.pstatic.net/20230522_12/1684741288712s74lV_JPEG/12078681514720634_2013167262.jpeg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=8585621390&tr=bbrks&trx=,20M
65,16,"드라이 무지 기능성 쿨론 반팔 티셔츠 (남녀공용, 흰색, 진회색, 검정)",6900 ,https://shop-phinf.pstatic.net/20180227_48/fellaz_1519712519494WDXWk_JPEG/43019679001171213_1888155541.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=2545046636&tr=bbrks&trx=,20M
66,17,침대 프레임 매트리스 깔판 저상형 패밀리 받침대 미니싱글 600,24800 ,https://shop-phinf.pstatic.net/20220215_130/1644907239914c8Knw_JPEG/46043085391664797_1606646212.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=2449973163&tr=bbrks&trx=,20M
67,18,귀하닭 닭가슴살 오리지널 100g,1690 ,https://shop-phinf.pstatic.net/20230511_214/1683785834277hOztP_JPEG/38183373289408206_623583888.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=5208228566&tr=bbrks&trx=,20M
68,19,뉴트리코어 유기농 비오틴 1개월분,33000 ,https://shop-phinf.pstatic.net/20230217_3/1676592748153MwRzt_JPEG/3895432030926409_252890134.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=2489075741&tr=bbrks&trx=,20M
69,20,국내산 홍어 삭힌 목포 흑산도홍어 애 삼합 (만화 식객 홍어편에 나온 집),28900 ,https://shop-phinf.pstatic.net/20200414_4/15867998443958jY1L_PNG/24160583007998801_205705918.png?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=4891205921&tr=bbrks&trx=,20M
70,21,어셔츠 프리미엄 구김없는 스판 남자 정장 와이셔츠 2color,22800 ,https://shop-phinf.pstatic.net/20201228_52/1609124693661rwNHC_JPEG/10260582363796796_591534302.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=3854759799&tr=bbrks&trx=,20M
71,22,[4+1이벤트] NFC 착즙 석류즙 [70ml] x 30포,16900 ,https://shop-phinf.pstatic.net/20230320_226/1679299353541yswEx_JPEG/SsNHP_100641_1.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=4401491072&tr=bbrks&trx=,20M
72,23,한스킨 딥 클렌징오일 블랙헤드제거 AHA BHA PHA,17400 ,https://shop-phinf.pstatic.net/20221011_162/1665483122389th8Q7_PNG/66618965048214417_1319494702.png?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=622205199&tr=bbrks&trx=,20M
73,24,몽글몽글 고양이 두부모래 7L X3개입 오리지널향 진공포장,14900 ,https://shop-phinf.pstatic.net/20211015_138/1634285963469YvxJ2_JPEG/35421747182296738_1176883563.jpg?type=f200,https://smartstore.naver.com/inflow/outlink/product?p=3765864869&tr=bbrks&trx=,20M
